ID,Created,Name,Description,Playlist URL
e19ade9ce68c4d04933d7bc27c2d9355,2025-10-30T11:00:14Z,Villain Arc,"Step into your evil era. Choose a song that belongs on a revenge playlist, power montage, or super-villain soundtrack.",https://open.spotify.com/playlist/0lwANC8pMaXlNU24Gx5xL4
eb53d0409a2d4e5b82d387114aa7a74c,2025-10-30T11:00:26Z,Rainy Day Music,"Cold, gray, and introspective. The soundtrack to sipping coffee and staring out a window.",https://open.spotify.com/playlist/1qMssg8XtQa5edjSYFL1dD
33a7ced54bb84daca41383c65d8f30cb,2025-10-30T11:00:44Z,Singers with Accents,Celebrate global flavour — songs where the singer’s accent is unmistakable and part of the charm.,https://open.spotify.com/playlist/7t94o3MrEGDI7G8YhwgIQR
df462540044345fe98b1c51784ddb85d,2025-10-30T11:01:34Z,Tell Me a Story,Submit a track that takes the listener on a narrative journey. Story‑driven songs only.,https://open.spotify.com/playlist/4wKcKxF5cAgNRWrFP6f0tq
342d5af8432945769d42f448ca75bb49,2025-10-30T11:01:53Z,Snow Day Music,"Music for staying in — cosy, chill, or gently dramatic. Picture snowfall and no responsibilities.",https://open.spotify.com/playlist/6gRXQZzyo03MsNK5fimp2I
a05324327a464f5a875f0496053cfbae,2025-10-30T11:02:44Z,Sad/Dark Songs That Slap,For the gloomy days deep into a silent winter. Tracks that are emotionally heavy but still groove.,https://open.spotify.com/playlist/0nlpGfVW8wuNpAv7e7hbiL
48265ccab3dc473f88673d1acf46239a,2025-10-30T11:03:03Z,Christmas Songs,"Festive, weird, or nostalgic — any song that says “holiday season” to you. (Parodies welcome!)",https://open.spotify.com/playlist/3oMsaCrQC3Rk31zT39tLAZ
cdb2facbe80a4b3aba95181d8cfc9bfd,2025-10-30T11:03:21Z,Personal Fave – Exploring,"New year, new places. What’s on when your playlist while exploring, whether it be city streets or woodland trails, give us the vibe of discovery.",https://open.spotify.com/playlist/4pRQiQGKhqV2rJtR6MbIHm
d18987a2233e4838b1e77d52ea065035,2025-10-30T11:04:03Z,Songs You Sang Wrong For Years,"Misheard lyrics, misunderstood meanings — share a song you totally got wrong at first. Bonus points if you share what exactly you were singing wrong!",https://open.spotify.com/playlist/4iqdCVO0iLQNLXpPvS12QS
9bb957a071be42209ce8d80357a748a1,2025-10-30T11:04:25Z,Current Life Theme Song,"What song defines where you’re at right now in life? Be honest, dramatic, or funny.",https://open.spotify.com/playlist/4acS7Gh1AiVqALUSXc4vDI
